x_um,y_um,z_um,T_K
-4.599999999999999645e-01,-1.999999999999991368e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,-1.999999999999991368e-02,1.800000000000000766e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-1.799999999999999656e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,0.000000000000000000e+00,1.800000000000000766e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-1.799999999999999656e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,2.000000000000002123e-02,1.800000000000000766e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-1.799999999999999656e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,4.000000000000004247e-02,1.800000000000000766e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-1.799999999999999656e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,6.000000000000006023e-02,1.800000000000000766e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,8.000000000000008493e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-1.599999999999999478e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,9.999999999999999167e-02,1.600000000000000588e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-1.399999999999999856e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.200000000000000094e-01,1.400000000000000411e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-1.199999999999999678e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.400000000000000411e-01,1.200000000000000094e-01,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,-9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,-7.999999999999997391e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,4.000000000000004247e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,6.000000000000006023e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,8.000000000000008493e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.600000000000000588e-01,9.999999999999999167e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,-5.999999999999995615e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,-3.999999999999998695e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,-1.999999999999991368e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,0.000000000000000000e+00,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,2.000000000000002123e-02,3.000000000000000000e+02
-4.599999999999999645e-01,1.800000000000000766e-01,4.000000000000004247e-02,3.000000000000000000e+02
